english_title,bengali_title,bengali_version,english_version
Leave this chanting and singing and telling of beads!,ভজন পূজন সাধন আরাধনা,"ভজন পূজন সাধন আরাধনা সমস্ত থাক্ পড়ে। রুদ্ধদ্বারে দেবালয়ের কোণে কেন আছিস ওরে। অন্ধকারে লুকিয়ে আপন মনে কাহারে তুই পূজিস সংগোপনে, নয়ন মেলে দেখ দেখি তুই চেয়ে দেবতা নাই ঘরে। তিনি গেছেন যেথায় মাটি ভেঙে করছে চাষা চাষ — পাথর ভেঙে কাটছে যেথায় পথ, খাটছে বারো মাস। রৌদ্রে জলে আছেন সবার সাথে, ধুলা তাঁহার লেগেছে দুই হাতে ; তাঁরি মতন শুচি বসন ছাড়ি আয় রে ধুলার প'রে। মুক্তি? ওরে মুক্তি কোথায় পাবি, মুক্তি কোথায় আছে। আপনি প্রভু সৃষ্টিবাঁধন'পরে বাঁধা সবার কাছে। রাখো রে ধ্যান থাক্ রে ফুলের ডালি, ছিঁড়ুক বস্ত্র, লাগুক ধুলাবালি, কর্মযোগে তাঁর সাথে এক হয়ে ঘর্ম পড়ুক ঝরে।","Leave this chanting and singing and telling of beads! Whom dost thou
worship in this lonely dark corner of a temple with doors all shut?
Open thine eyes and see thy God is not before thee!

He is there where the tiller is tilling the hard ground and where the
pathmaker is breaking stones. He is with them in sun and in shower, and
his garment is covered with dust. Put of thy holy mantle and even like
him come down on the dusty soil!

Deliverance? Where is this deliverance to be found? Our master himself
has joyfully taken upon him the bonds of creation; he is bound with us
all for ever.

Come out of thy meditations and leave aside thy flowers and incense!
What harm is there if thy clothes become tattered and stained? Meet him
and stand by him in toil and in sweat of thy brow."
The time that my journey takes is long,অনেক কালের যাত্রা আমার,"অনেককালের যাত্রা আমার অনেক দূরের পথে, প্রথম বাহির হয়েছিলেম প্রথম-আলোর রথে। গ্রহে তারায় বেঁকে বেঁকে পথের চিহ্ন এলেম এঁকে কত যে লোক-লোকান্তরের অরণ্যে পর্বতে। সবার চেয়ে কাছে আসা সবার চেয়ে দূর। বড়ো কঠিন সাধনা, যার বড়ো সহজ সুর। পরের দ্বারে ফিরে, শেষে আসে পথিক আপন দেশে- বাহির-ভুবন ঘুরে মেলে অন্তরের ঠাকুর। ""এই যে তুমি"" এই কথাটি বলব আমি ব'লে কত দিকেই চোখ ফেরালেম কত পথেই চ'লে। ভরিয়ে জগৎ লক্ষ ধারায় ""আছ-আছ""র স্রোত বহে যায় ""কই তুমি কই"" এই কাঁদনের নয়ন-জলে গ'লে।","The time that my journey takes is long and the way of it long.

I came out on the chariot of the first gleam of light, and pursued my
voyage through the wildernesses of worlds leaving my track on many a
star and planet.

It is the most distant course that comes nearest to thyself, and that
training is the most intricate which leads to the utter simplicity of a
tune.

The traveller has to knock at every alien door to come to his own, and
one has to wander through all the outer worlds to reach the innermost
shrine at the end.

My eyes strayed far and wide before I shut them and said ""Here art
thou!""

The question and the cry ""Oh, where?"" melt into tears of a thousand
streams and deluge the world with the flood of the assurance ""I am!"""
The song that I came to sing remains unsung,হেথা যে গান গাইতে আসা আমার,"হেথা যে গান গাইতে আসা আমার হয় নি সে গান গাওয়া — আজো কেবলি সুর সাধা, আমার কেবল গাইতে চাওয়া। আমার লাগে নাই সে সুর , আমার বাঁধে নাই সে কথা, শুধু প্রাণেরই মাঝখানে আছে গানের ব্যাকুলতা। আজো ফোটে নাই সে ফুল , শুধু বহেছে এক হাওয়া। আমি দেখি নাই তার মুখ, আমি শুনি নাই তার বাণী, কেবল শুনি ক্ষণে ক্ষণে তাহার পায়ের ধ্বনিখানি। আমার দ্বারের সমুখ দিয়ে সে জন করে আসা-যাওয়া। শুধু আসন পাতা হল আমার সারাটি দিন ধ 'রে — ঘরে হয় নি প্রদীপ জ্বালা, তারে ডাকব কেমন করে। আছি পাবার আশা নিয়ে, তারে হয় নি আমারা পাওয়া।","The song that I came to sing remains unsung to this day.

I have spent my days in stringing and in unstringing my instrument.

The time has not come true, the words have not been rightly set; only
there is the agony of wishing in my heart.

The blossom has not opened; only the wind is sighing by.

I have not seen his face, nor have I listened to his voice; only I have
heard his gentle footsteps from the road before my house.

The livelong day has passed in spreading his seat on the floor; but the
lamp has not been lit and I cannot ask him into my house.

I live in the hope of meeting with him; but this meeting is not yet."
My desires are many and my cry is pitiful,আমি বহু বাসনায় প্রাণপণে চাই,"আমি বহু বাসনায় প্রাণপণে চাই, বঞ্চিত করে বাঁচালে মোরে। এ কৃপা কঠোর সঞ্চিত মোর জীবন ভ'রে। না চাহিতে মোরে যা করেছ দান আকাশ আলোক তনু মন প্রাণ, দিনে দিনে তুমি নিতেছ আমায় সে মহাদানেরই যোগ্য করে অতি-ইচ্ছার সংকট হতে বাঁচায়ে মোরে। আমি কখনো-বা ভুলি, কখনো-বা চলি তোমার পথের লক্ষ্য ধরে ; তুমি নিষ্ঠুর সম্মুখ হতে যাও সে সরে। এ যে তব দয়া জানি জানি হায়, নিতে চাও বলে ফিরাও আমায়, পূর্ণ করিয়া লবে এ জীবন তব মিলনেরই যোগ্য করে আধা-ইচ্ছার সংকট হতে বাঁচায়ে মোরে।","My desires are many and my cry is pitiful, but ever didst thou save me
by hard refusals; and this strong mercy has been wrought into my life
through and through.

Day by day thou art making me worthy of the simple, great gifts that
thou gavest to me unasked—this sky and the light, this body and the
life and the mind—saving me from perils of overmuch desire.

There are times when I languidly linger and times when I awaken and
hurry in search of my goal; but cruelly thou hidest thyself from before
me.

Day by day thou art making me worthy of thy full acceptance by refusing
me ever and anon, saving me from perils of weak, uncertain desire."
I am here to sing thee songs. In this hall of thine,আমি হেথায় থাকি শুধু,"আমি হেথায় থাকি শুধু গাইতে তোমার গান, দিয়ো তোমার জগৎসভায় এইটুকু মোর স্থান। আমি তোমার ভুবন-মাঝে লাগি নি নাথ, কোনো কাজে — শুধু কেবল সুরে বাজে অকাজের এই প্রাণ। নিশায় নীরব দেবালয়ে তোমার আরাধন, তখন মোরে আদেশ কোরো গাইতে হে রাজন্ । ভোরে যখন আকাশ জুড়ে বাজবে বীণা সোনার সুরে আমি যেন না রই দূরে এই দিয়ো মোর মান।","I am here to sing thee songs. In this hall of thine I have a corner
seat.

In thy world I have no work to do; my useless life can only break out
in tunes without a purpose.

When the hour strikes for thy silent worship at the dark temple of
midnight, command me, my master, to stand before thee to sing.

When in the morning air the golden harp is tuned, honour me, commanding
my presence."
I have had my invitation to this world's festival,জগতে আনন্দ যজ্ঞে,"জগতে আনন্দযজ্ঞে আমার নিমন্ত্রণ। ধন্য হল ধন্য হল মানবজীবন॥ নয়ন আমার রূপের পুরে সাধ মিটায়ে বেড়ায় ঘুরে, শ্রবণ আমার গভীর সুরে হয়েছে মগন॥ তোমার যজ্ঞে দিয়েছ ভার, বাজাই আমি বাঁশি-- গানে গানে গেঁথে বেড়াই প্রাণের কান্নাহাসি। এখন সময় হয়েছে কি? সভায় গিয়ে তোমায় দেখি জয়ধ্বনি শুনিয়ে যাব এ মোর নিবেদন॥","I have had my invitation to this world's festival, and thus my life has
been blessed. My eyes have seen and my ears have heard.

It was my part at this feast to play upon my instrument, and I have
done all I could.

Now, I ask, has the time come at last when I may go in and see thy face
and offer thee my silent salutation?"
I am only waiting for love,প্রেমের হাতে ধরা দেব,"প্রেমের হাতে ধরা দেব তাই রয়েছি বসে ; অনেক দেরি হয়ে গেল, দোষী অনেক দোষে। বিধিবিধান-বাঁধনডোরে ধরতে আসে, যাই সে সরে, তার লাগি যা শাস্তি নেবার নেব মনের তোষে। প্রেমের হাতে ধরা দেব তাই রয়েছি বসে। লোকে আমায় নিন্দা করে, নিন্দা সে নয় মিছে, সকল নিন্দা মাথায় ধরে রব সবার নীচে। শেষ হয়ে যে গেল বেলা, ভাঙল বেচা-কেনার মেলা, ডাকতে যারা এসেছিল ফিরল তারা রোষে। প্রেমের হাতে ধরা দেব তাই রয়েছি বসে।","I am only waiting for love to give myself up at last into his hands.
That is why it is so late and why I have been guilty of such omissions.

They come with their laws and their codes to bind me fast; but I evade
them ever, for I am only waiting for love to give myself up at last
into his hands.

People blame me and call me heedless; I doubt not they are right in
their blame.

The market day is over and work is all done for the busy. Those who
came to call me in vain have gone back in anger. I am only waiting for
love to give myself up at last into his hands."
Clouds heap upon clouds and it darkens,মেঘের পরে মেঘ জমেছে,"মেঘের 'পরে মেঘ জমেছে, আঁধার করে আসে। আমায় কেন বসিয়ে রাখ একা দ্বারের পাশে। কাজের দিনে নানা কাজে থাকি নানা লোকের মাঝে, আজ আমি যে বসে আছি তোমারি আশ্বাসে॥ তুমি যদি না দেখা দাও, কর আমায় হেলা, কেমন করে কাটে আমার এমন বাদল-বেলা। দূরের পানে মেলে আঁখি কেবল আমি চেয়ে থাকি, পরান আমার কেঁদে বেড়ায় দুরন্ত বাতাসে॥","Clouds heap upon clouds and it darkens. Ah, love, why dost thou let me
wait outside at the door all alone?

In the busy moments of the noontide work I am with the crowd, but on
this dark lonely day it is only for thee that I hope.

If thou showest me not thy face, if thou leavest me wholly aside, I
know not how I am to pass these long, rainy hours.

I keep gazing on the far-away gloom of the sky, and my heart wanders
wailing with the restless wind."
If thou speakest not I will fill my heart,"ওগো মৌন, না যদি কও","ওগো মৌন, না যদি কও না-ই কহিলে কথা। বক্ষ ভরি বইব আমি তোমার নীরবতা। স্তব্ধ হয়ে রইব পড়ে, রজনী রয় যেমন করে জ্বালিয়ে তারা নিমেষহারা ধৈর্যে অবনতা। হবে হবে প্রভাত হবে আঁধার যাবে কেটে। তোমার বাণী সোনার ধারা পড়বে আকাশ ফেটে। তখন আমার পাখির বাসায় জাগবে কি গান তোমার ভাষায়। তোমার তানে ফোটাবে ফুল আমার বনলতা?","If thou speakest not I will fill my heart with thy silence and endure
it. I will keep still and wait like the night with starry vigil and its
head bent low with patience.

The morning will surely come, the darkness will vanish, and thy voice
pour down in golden streams breaking through the sky.

Then thy words will take wing in songs from every one of my birds’
nests, and thy melodies will break forth in flowers in all my forest
groves."
"On the day when the lotus bloomed, alas",যেদিন ফুটল কমল কিছুই জানি নাই,"যেদিন ফুটল কমল কিছুই জানি নাই আমি ছিলেম অন্যমনে। আমার সাজিয়ে সাজি তারে আনি নাই সে যে রইল সংগোপনে। মাঝে মাঝে হিয়া আকুলপ্রায়, স্বপন দেখে চমকে উঠে চায়, মন্দ মধুর গন্ধ আসে হায় কোথায় দখিন-সমীরণে। ওগো সেই সুগন্ধে ফিরায়ে উদাসিয়া আমায় দেশে দেশান্তে যেন সন্ধানে তার উঠে নিশ্বাসিয়া ভুবন নবীন বসন্তে। কে জানিত দূরে তো নেই সে, আমারি গো আমারি সেই যে, এ মাধুরী ফুটেছে হায় রে আমার হৃদয়-উপবনে।","On the day when the lotus bloomed, alas, my mind was straying, and I
knew it not. My basket was empty and the flower remained unheeded.

Only now and again a sadness fell upon me, and I started up from my
dream and felt a sweet trace of a strange fragrance in the south wind.

That vague sweetness made my heart ache with longing and it seemed to
me that is was the eager breath of the summer seeking for its
completion.

I knew not then that it was so near, that it was mine, and that this
perfect sweetness had blossomed in the depth of my own heart."
I must launch out my boat,এবার ভাসিয়ে দিতে হবে আমার,"এবার ভাসিয়ে দিতে হবে আমার এই তরী। তীরে বসে যায় যে বেলা, মরি গো মরি। ফুল-ফোটানো সারা ক’রে বসন্ত যে গেল স’রে, নিয়ে ঝরা ফুলের ডালা বলো কী করি। জল উঠেছে ছলছলিয়ে ঢেউ উঠেছে দুলে, মর্মরিয়ে ঝরে পাতা বিজন তরুমূলে। শূন্যমনে কোথায় তাকাস। সকল বাতাস সকল আকাশ ওই পারের ওই বাঁশির সুরে উঠে শিহরি।","I must launch out my boat. The languid hours pass by on the shore—Alas
for me!

The spring has done its flowering and taken leave. And now with the
burden of faded futile flowers I wait and linger.

The waves have become clamorous, and upon the bank in the shady lane
the yellow leaves flutter and fall.

What emptiness do you gaze upon! Do you not feel a thrill passing
through the air with the notes of the far-away song floating from the
other shore?"
In the deep shadows of the rainy July,আজি শ্রাবণঘন গহন মোহে,"আজি শ্রাবণঘনগহন মোহে গোপন তব চরণ ফেলে নিশার মতো, নীরব ওহে, সবার দিঠি এড়ায়ে এলে। প্রভাত আজি মুদেছে আঁখি, বাতাস বৃথা যেতেছে ডাকি, নিলাজ নীল আকাশ ঢাকি নিবিড় মেঘ কে দিল মেলে॥ কূজনহীন কাননভূমি, দুয়ার দেওয়া সকল ঘরে-- একেলা কোন্‌ পথিক তুমি পথিকহীন পথের 'পরে। হে একা সখা, হে প্রিয়তম, রয়েছে খোলা এ ঘর মম, সমুখ দিয়ে স্বপনসম যেয়ো না মোরে হেলায় ঠেলে॥","In the deep shadows of the rainy July, with secret steps, thou walkest,
silent as night, eluding all watchers.

Today the morning has closed its eyes, heedless of the insistent calls
of the loud east wind, and a thick veil has been drawn over the
ever-wakeful blue sky.

The woodlands have hushed their songs, and doors are all shut at every
house. Thou art the solitary wayfarer in this deserted street. Oh my
only friend, my best beloved, the gates are open in my house—do not
pass by like a dream."
Art thou abroad on this stormy night on thy journey,আজি ঝড়ের রাতে তোমার অভিসার,"আজি ঝড়ের রাতে তোমার অভিসার, পরানসখা বন্ধু হে আমার। আকাশ কাঁদে হতাশ-সম, নাই যে ঘুম নয়নে মম, দুয়ার খুলি হে প্রিয়তম, চাই যে বারে বার। পরানসখা বন্ধু হে আমার। বাহিরে কিছু দেখিতে নাহি পাই, তোমার পথ কোথায় ভাবি তাই। সুদূর কোন্ নদীর পারে, গহন কোন্ বনের ধারে গভীর কোন্ অন্ধকারে হতেছ তুমি পার। পরানসখা বন্ধু হে আমার।","Art thou abroad on this stormy night on thy journey of love, my friend?
The sky groans like one in despair.

I have no sleep tonight. Ever and again I open my door and look out on
the darkness, my friend!

I can see nothing before me. I wonder where lies thy path!

By what dim shore of the ink-black river, by what far edge of the
frowning forest, through what mazy depth of gloom art thou threading
thy course to come to me, my friend?"
If the day is done,"দিবস যদি সাঙ্গ হল, না যদি গাহে পাখি","দিবস যদি সাঙ্গ হল, না যদি গাহে পাখি, ক্লান্ত বায়ু না যদি আর চলে — এবার তবে গভীর করে ফেলো গো মোরে ঢাকি অতি নিবিড় ঘন তিমিরতলে স্বপন দিয়ে গোপনে ধীরে ধীরে যেমন করে ঢেকেছ ধরণীরে, যেমন করে ঢেকেছ তুমি মুদিয়া-পড়া আঁখি, ঢেকেছ তুমি রাতের শতদলে। পাথেয় যার ফুরায়ে আসে পথের মাঝখানে, ক্ষতির রেখা উঠেছে যার ফুটে, বসনভূষা মলিন হল ধুলায় অপমানে শকতি যার পড়িতে চায় টুটে — ঢাকিয়া দিক তাহার ক্ষতব্যথা করুণাঘন গভীর গোপনতা, ঘুচায়ে লাজ ফুটাও তারে নবীন উষাপানে জুড়ায়ে তারে আঁধার সুধাজলে।","If the day is done, if birds sing no more, if the wind has flagged
tired, then draw the veil of darkness thick upon me, even as thou hast
wrapt the earth with the coverlet of sleep and tenderly closed the
petals of the drooping lotus at dusk.

From the traveller, whose sack of provisions is empty before the voyage
is ended, whose garment is torn and dustladen, whose strength is
exhausted, remove shame and poverty, and renew his life like a flower
under the cover of thy kindly night."
In the night of weariness let me give myself up,মাঝে মাঝে কভু যদি অবসাদ আসি,"মাঝে মাঝে কভু যবে অবসাদ আসি অন্তরের আলোক পলকে ফেলে গ্রাসি, মন্দপদে যবে শ্রান্তি আসে তিল তিল তোমার পূজার বৃন্ত করে সে শিথিল ম্রিয়মাণ-- তখনো না যেন করি ভয়, তখনো অটল আশা যেন জেগে রয় তোমা-পানে। তোমা-'পরে করিয়া নির্ভর সে শ্রান্তির রাত্রে যেন সকল অন্তর নির্ভয়ে অর্পণ করি পথধূলিতলে নিদ্রারে আহ্বান করি। প্রাণপণ বলে ক্লান্ত চিত্তে নাহি তুলি ক্ষীণ কলরব তোমার পূজার অতি দরিদ্র উৎসব। রাত্রি এনে দাও তুমি দিবসের চোখে, আবার জাগাতে তারে নবীন আলোকে।","In the night of weariness let me give myself up to sleep without
struggle, resting my trust upon thee.

Let me not force my flagging spirit into a poor preparation for thy
worship.

It is thou who drawest the veil of night upon the tired eyes of the day
to renew its sight in a fresher gladness of awakening."
He came and sat by my side,সে যে পাশে এসে বসেছিল,"সে যে পাশে এসে বসেছিল তবু জাগি নি। কী ঘুম তোরে পেয়েছিল হতভাগিনী। এসেছিল নীরব রাতে বীণাখানি ছিল হাতে, স্বপনমাঝে বাজিয়ে গেল গভীর রাগিণী। জেগে দেখি দখিন-হাওয়া পাগল করিয়া গন্ধ তাহার ভেসে বেড়ায় আঁধার ভরিয়া। কেন আমার রজনী যায় — কাছে পেয়ে কাছে না পায় কেন গো তার মালার পরশ বুকে লাগে নি।","He came and sat by my side but I woke not. What a cursed sleep it was,
O miserable me!

He came when the night was still; he had his harp in his hands, and my
dreams became resonant with its melodies.

Alas, why are my nights all thus lost? Ah, why do I ever miss his sight
whose breath touches my sleep?"
